name	code	rs	rs1m	rs3m	rs6m	mmt
코스피	-	88	92	88	89	0
코스닥	-	68	58	65	71	0
신성이엔지	011930	99	99	99	99	0
크레오에스지	040350	99	99	99	99	1
성호전자	043260	99	91	91	99	0
국일제지	078130	99	99	99	99	0
삼성전기	009150	98	95	97	99	1
LG이노텍	011070	98	95	97	97	0
대한광통신	010170	98	88	97	99	0
HLB이노베이션	024850	98	3	98	99	0
피델릭스	032580	98	98	98	98	0
우리로	046970	98	37	98	98	0
DKME	015590	97	98	97	97	0
광전자	017900	97	61	98	97	0
KEC	092220	97	96	97	99	0
주성엔지니어링	036930	97	95	96	99	1
빛과전자	069540	97	28	96	98	0
코리아써키트	007810	96	93	94	96	1
대덕전자	353200	96	93	95	94	0
에스에이엠티	031330	96	96	96	97	1
재영솔루텍	049630	96	10	95	98	0
가온전선	000500	95	90	96	97	0
SK하이닉스	000660	95	94	93	96	1
대우건설	047040	95	16	94	98	0
SK스퀘어	402340	95	92	93	97	1
네오티스	085910	95	91	89	98	1
로보스타	090360	95	95	93	91	0
아스플로	159010	95	94	95	96	1
RF머트리얼즈	327260	95	26	90	97	0
셀레믹스	331920	95	89	95	98	0
티엘비	356860	95	92	93	86	0
삼화콘덴서	001820	94	95	94	95	0
삼아알미늄	006110	94	90	94	94	0
LG전자	066570	94	95	94	95	0
두산퓨얼셀	336260	94	94	94	92	0
엠케이전자	033160	94	78	95	94	0
인텍플러스	064290	94	92	94	95	1
제주반도체	080220	94	95	93	98	0
서울바이오시스	092190	94	75	95	96	0
미래에셋벤처투자	100790	94	38	92	97	0
두산테스나	131970	94	88	93	94	0
심텍	222800	94	92	93	88	0
나무기술	242040	94	95	94	99	0
피에스케이	319660	94	92	92	97	1
옵티코어	380540	94	95	94	98	1
저스템	417840	94	91	94	97	0
파두	440110	94	93	91	97	1
한선엔지니어링	452280	94	92	95	93	0
SK증권	001510	93	7	92	97	0
OCI홀딩스	010060	93	60	93	93	0
계양전기	012200	93	80	57	98	0
현대오토에버	307950	93	95	92	97	0
아주IB투자	027360	93	8	92	97	0
네패스	033640	93	89	93	89	1
에이치엠넥스	036170	93	11	89	98	0
브이엠	089970	93	92	92	93	1
테스	095610	93	95	92	95	1
티에스이	131290	93	92	93	96	1
엘티씨	170920	93	83	93	93	0
디바이스이엔지	187870	93	90	93	93	0
현대무벡스	319400	93	88	82	96	0
네패스아크	330860	93	88	93	90	0
코스텍시스	355150	93	26	92	93	0
엑스게이트	356680	93	92	94	90	0
기가비스	420770	93	93	92	97	1
DB하이텍	000990	92	89	92	92	0
삼성전자	005930	92	94	91	94	1
미래산업	025560	92	95	93	91	0
삼성생명	032830	92	94	92	92	1
원익홀딩스	030530	92	22	40	50	0
케이엠더블유	032500	92	88	92	90	1
우리기술	032820	92	14	73	95	0
파워넷	037030	92	54	93	91	0
삼지전자	037460	92	93	92	95	0
아모텍	052710	92	84	93	92	0
비츠로셀	082920	92	63	93	95	0
코세스	089890	92	26	90	80	0
로보티즈	108490	92	88	87	85	0
코미코	183300	92	94	93	91	1
페니트리움바이오	187660	92	26	4	92	0
디케이티	290550	92	66	92	94	0
로킷헬스케어	376900	92	26	16	13	0
한국피아이엠	448900	92	7	16	88	0
씨어스	458870	92	5	18	12	0
천일고속	000650	91	89	45	83	0
SK네트웍스	001740	91	95	92	91	0
신세계	004170	91	94	91	94	0
한솔테크닉스	004710	91	94	93	89	0
대원전선	006340	91	5	92	93	0
LS ELECTRIC	010120	91	43	90	92	0
SK	034730	91	93	90	92	1
효성중공업	298040	91	50	86	86	0
HD현대에너지솔루션	322000	91	29	91	94	0
심텍홀딩스	036710	91	92	92	84	0
삼표시멘트	038500	91	10	17	95	0
MDS테크	086960	91	96	93	89	0
오이솔루션	138080	91	42	91	93	0
오늘이엔엠	192410	91	83	92	95	0
RFHIC	218410	91	64	86	94	0
타이거일렉	219130	91	82	91	93	0
에이치브이엠	295310	91	89	86	96	0
PS일렉트로닉스	332570	91	75	92	90	0
이엔셀	456070	13	6	7	17	0
신원	009270	12	43	27	18	0
이스트소프트	047560	12	35	38	7	0
솔트룩스	304100	12	34	33	8	0
바이오다인	314930	12	63	33	19	0
아세아	002030	11	7	3	2	0
화승인더	006060	11	39	26	15	0
무림P&P	009580	11	5	14	17	0
모나용평	070960	11	49	31	20	0
더본코리아	475560	11	47	16	11	0
에스엠	041510	11	42	15	21	0
HLB제약	047920	11	12	21	20	0
제넥신	095700	11	10	9	13	0
펌텍코리아	251970	11	53	14	11	0
디앤씨미디어	263720	11	35	27	16	0
카카오게임즈	293490	11	44	13	6	0
탑런토탈솔루션	336680	11	45	28	19	0
바이오솔루션	086820	10	5	10	32	0
이수앱지스	086890	10	23	7	6	0
위메이드맥스	101730	10	10	10	7	0
와이씨켐	112290	10	90	7	20	0
와이지엔터테인먼트	122870	10	45	5	14	0
세경하이테크	148150	10	37	38	18	0
에이비온	203400	10	17	8	11	0
삼일제약	000520	9	41	10	14	0
퍼시스	016800	9	44	6	9	0
그린케미칼	083420	9	31	36	14	0
미원에스씨	268280	9	50	14	15	0
SOOP	067160	9	68	17	16	0
비보존제약	082800	9	78	18	16	0
에코앤드림	101360	9	7	14	6	0
듀켐바이오	176750	9	23	10	13	0
씨에스베어링	297090	9	1	22	23	0
일양약품	007570	8	34	4	9	0
지누스	013890	8	22	21	23	0
SBS	034120	8	51	15	12	0
로체시스템즈	071280	8	33	35	22	0
디와이피엔에프	104460	8	13	12	17	0
케이카	381970	7	51	4	4	0
엠앤씨솔루션	484870	7	2	2	3	0
휴온스글로벌	084110	7	0	1	5	0
엠아이텍	179290	7	26	10	21	0
스튜디오드래곤	253450	7	28	6	11	0
영진약품	003520	6	28	7	10	0
메디톡스	086900	6	50	11	15	0
인포바인	115310	6	7	0	0	0
킵스파마	256940	6	49	50	14	0
박셀바이오	323990	6	26	6	4	0
탑머티리얼	360070	6	5	17	5	0
노머스	473980	6	42	27	10	0
화승엔터프라이즈	241590	5	24	10	16	0
프레스티지바이오파마	950210	5	47	11	4	0
CMG제약	058820	5	14	6	8	0
바이오니아	064550	5	47	13	9	0
휴메딕스	200670	5	27	13	6	0
엔켐	348370	5	32	3	4	0
에스와이스틸텍	365330	5	9	14	12	0
제이알글로벌리츠	348950	4	86	5	1	0
카페24	042000	4	37	12	8	0
중앙첨단소재	051980	4	26	16	3	0
넵튠	217270	4	35	10	6	0
프레스티지바이오로직스	334970	4	52	12	7	0
뷰노	338220	4	0	2	1	0
씨앤씨인터내셔널	352480	4	22	18	8	0
디어유	376300	4	18	7	17	0
SAMG엔터	419530	4	8	28	7	0
동신건설	025950	3	38	25	38	0
바이넥스	053030	3	35	4	6	0
엠로	058970	3	54	6	8	0
트리니티항공	091810	2	70	7	4	0
브이티	018290	2	32	29	8	0
큐브엔터	182360	2	9	5	4	0
데브시스터즈	194480	2	15	0	3	0
바이오비쥬	489460	2	55	15	3	0
동국홀딩스	001230	1	0	0	0	0
미원화학	134380	1	52	0	0	0
KB스타리츠	432320	1	29	1	1	0
젬백스	082270	1	2	0	1	0
대한제분	001130	0	0	0	0	0
한국화장품제조	003350	0	55	0	0	0
포스코스틸리온	058430	0	15	0	0	0
티엠씨	217590	0	3	87	0	0
케이뱅크	279570	0	71	0	0	0
명인제약	317450	0	48	14	7	0
대한조선	439260	0	16	5	50	0
세나테크놀로지	061090	0	91	86	46	0
인화정공	101930	0	7	0	0	0
